,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
x1,1.0,0.95,0.96,0.98,0.98,0.99,0.96,0.98,0.98,0.98,-0.3,0.93,0.97,0.95
x2,0.95,1.0,1.0,0.99,0.99,0.92,0.99,0.99,0.98,0.98,-0.14,0.86,1.0,0.98
x3,0.96,1.0,1.0,0.99,0.99,0.92,0.99,0.99,0.98,0.99,-0.16,0.86,1.0,0.99
x4,0.98,0.99,0.99,1.0,1.0,0.95,0.99,1.0,0.99,1.0,-0.2,0.88,1.0,0.98
x5,0.98,0.99,0.99,1.0,1.0,0.95,0.99,1.0,0.99,1.0,-0.19,0.87,0.99,0.99
x6,0.99,0.92,0.92,0.95,0.95,1.0,0.93,0.95,0.97,0.96,-0.36,0.94,0.94,0.91
x7,0.96,0.99,0.99,0.99,0.99,0.93,1.0,0.99,0.98,0.99,-0.16,0.86,0.99,0.99
x8,0.98,0.99,0.99,1.0,1.0,0.95,0.99,1.0,0.99,1.0,-0.16,0.87,1.0,0.99
x9,0.98,0.98,0.98,0.99,0.99,0.97,0.98,0.99,1.0,0.99,-0.24,0.88,0.99,0.98
x10,0.98,0.98,0.99,1.0,1.0,0.96,0.99,1.0,0.99,1.0,-0.18,0.88,0.99,0.99
x11,-0.3,-0.14,-0.16,-0.2,-0.19,-0.36,-0.16,-0.16,-0.24,-0.18,1.0,-0.47,-0.16,-0.13
x12,0.93,0.86,0.86,0.88,0.87,0.94,0.86,0.87,0.88,0.88,-0.47,1.0,0.87,0.83
x13,0.97,1.0,1.0,1.0,0.99,0.94,0.99,1.0,0.99,0.99,-0.16,0.87,1.0,0.99
y,0.95,0.98,0.99,0.98,0.99,0.91,0.99,0.99,0.98,0.99,-0.13,0.83,0.99,1.0
